id,headlines,text,ctext,ctext_len
65,Kriti replies to Hate Story actress Bhairavi's remark on her,"Kriti Sanon, when asked about 'Hate Story' actress Bhairavi Goswami's tweet saying Kriti is a ""deranged actress"" with ""no headlight"" and ""no bumper"", enquired who Bhairavi is. She further said,  ""I'm just happy for her. She got a lot of publicity. Now you guys know her name also"". Bhargavi had also commented that even college students look better than Kriti.","It was last week that Kriti Sanon posted a video where she is dancing to a song from Mubarakan. Immediately Kamaal R Khan, the serial offender, posted a tasteless comment on the actor targeting the poor box office performnce of Kriti?s last cinematic outing, Raabta. Adding her voice to the chorus was actor Bhairavi Goswami who last appeared in Hate Story.Taking to Twitter, Bhairavi wrote, ?she is really behaving like a deranged woman. How did she become an actress. No headlight, no bumper. Even college students look better.? The crass tweet soon got a serious backlash on Twitter with many questioning who Bhairavi was.But the best reaction, by far, has been that of Kriti herself. On Tuesday at an event, Kriti was asked by the media about Bhairavi?s tweet. ?Who is Bhairavi Goswami?? Kriti enquired. When told about Bhairavi?s filmography, the Bareilly Ki Barfi star said, ?I think, I?m just happy for her. She got a lot of publicity. Now you guys know her name also, so yeah.?Now, that is badass.Follow @htshowbiz for more",173
69,Over 20-yr-old museum may be shifted to Mumbai zoo,"The Brihanmumbai Electric Supply and Transport (BEST) is planning to shift its 20-year-old museum from Wadala to Byculla zoo in Mumbai, authorities said. ""The museum is far away, and people have often complained they don?t visit as the travel is a pain,"" said an official. The authorities expect that the shift will bring in more visitors and revenues.","The Brihanmumbai Electric Supply and Transport (BEST) is planning to shift its iconic museum from the Anik Bus Depot at Wadala to Byculla zoo. Authorities said bringing the museum to the heart of the city would attract more visitors and rake in some revenue. ?Rani Baug is visited by thousands of people all through the week and during the weekends. This will also help promote BEST buses,? said a BEST official.The museum at the Anik is more than 20 years old, and houses old bus tickets, models of the electric tram, ticket dispensing machines and historical photographs showing of BEST buses over the years. The authorities want to shift the museum to the building where the zoo?s latest attraction, the Humboldt penguins, are kept. BEST authorities said it has asked the Brihanmumbai Municipal Corporation (BMC) for space on the second floor of this building. ?The Anik bus depot museum is far away, and people have often complained they don?t visit as the travel is a pain. This is why we have asked for space at Rani Baug.? said Anil Kokil, BEST committee chairman.",182
78,Fire breaks out in Sheila Dixit's house in Delhi,"A minor fire broke out in the basement of former Delhi Chief Minister Sheila Dixit's house in Delhi's Nizamuddin on Wednesday morning. ""We got a call at around 9:30 am about a fire. We sent two fire tenders to the spot. The electricity metre board had caught fire,"" said a fire official. No damages have been reported in the incident.","A minor fire broke out in the basement of former Delhi chief minister Sheila Dikshit?s house in central Delhi?s Nizamuddin East on Wednesday morning.Fire control room officials said that the fire started in the electricity metre board in the basement of the house. ?We got a call at around 9:30 am about a fire. We sent two fire tenders to the spot. The electricity metre board had caught fire,? said a fire official.The official said that the fire was minor and put off without incident.?The fire was extinguished even before we reached the spot. It was a very minor incident,? said the Delhi Fire Services Chief Fire Officer, Atul Garg.",109
90,Sri Lankan held for entering Delhi Airport on fake ticket,"A Sri Lankan national was arrested for allegedly using a fake ticket to enter a terminal at the Delhi Airport on Monday, officials said. CISF personnel had found the accused, identified as Nuwan U Fernando, roaming suspiciously inside the terminal-III building. Fernando told officials he had used a cancelled ticket to enter the airport terminal to see off his mother. ","New Delhi, Aug 1 (PTI) A Sri Lankan national has been apprehended at the Delhi airport for entering a terminal allegedly using a fake ticket, officials said today. The man was apprehended last evening when a Central Industrial Security Force (CISF) personnel, deployed for the airports security, found him roaming suspiciously inside the terminal-III building, a senior official in airport security said. The man was identified as Nuwan U Fernando, a resident of Sri Lanka, he said. He told the CISF personnel that he had come to see off his mother, who was travelling to Colombo from the Indira Gandhi International Airport (IGIA), the official said. ",106
92,"SpiceJet passengers, crew face-off over delay","Passengers and cabin crew got into an argument on Tuesday after a Delhi-Bengaluru SpiceJet flight was repeatedly delayed. Passengers, including children, reportedly sat inside the aircraft for hours while no reason was given for the delay. The flight was scheduled to depart at 8:55 pm, while passengers were reportedly accommodated on a different aircraft that departed at 12:25 am. ","Inordinate delay of a SpiceJet flight SG 143 resulted in a face-off between passengers and the airline crew on Tuesday. Scores of passengers including children and elderly were made to sit inside the flight for hours, claims passengers.The crew allegedly could not provide any reason for the delay. The flight was scheduled to take off at 8.55 pm but got delayed to 9.15 pm and then by another 15 minutes. The face-off between the passengers and the crew ensued after the flight failed to depart even after the said timing. The flight finally took off at 12.25 am.According to sources, a different aircraft flew the passengers to Bengaluru. SpiceJet, however, has not responded so far.",114
95,Shops relocated to decongest Delhi Airport,"Shops at the domestic terminal of Delhi Airport have been relocated to provide additional space for seamless passenger movement, MoS for Civil Aviation Jayant Sinha said on Tuesday. This comes after a draft report by the Public Accounts Committee said lesser space for passengers due to shops and restaurants could hamper passenger movement during a mishap.","New Delhi, Aug 1 (PTI) Shops at the domestic terminal of Delhi airport have been relocated to provide additional space for seamless passenger movement, the government said today. A Public Accounts Committee headed by Congress leader K V Thomas had in its draft report indicted the Delhi airport operator about shrinkage of space for passengers because of restaurants, retail outlets, duty-free complexes and executive lounges. The Committee had said that this could hamper passenger movement incase of a mishap. ",79
97,HC to hear fresh appeals of Talwars in Aarushi murder case,"The Allahabad High Court on Tuesday said it would hear fresh appeals filed by Rajesh and Nupur Talwar challenging their conviction in the murder of their daughter Aarushi and domestic help, Hemraj. The court said it would hear the matter again due to ""contradictions"" in some submissions made by the CBI and fixed a hearing for August 31. ","Allahabad, Aug 01 (PTI) The Allahabad High Court today said it would hear afresh the appeals filed by Rajesh and Nupur Talwar challenging their conviction in the murder of their daughter Aarushi and domestic help Hemraj, seven months after reserving its judgement in the matter. A division bench comprising Justices Bala Krishna Narayana and Arvind Kumar Mishra said it would hear the matter again due to ""contradictions"" in some submissions made by the CBI in the sensational murder case and fixed August 31 for resuming the hearing. The court had on January 11 last reserved its judgement on the appeals filed by the Noida-based dentist couple who were awarded life imprisonment by a special CBI court at Ghaziabad on November 26, 2013. ",122
99,Gujarat Congress MLAs in Bengaluru not allowed to go out,"The Gujarat Congress MLAs staying in a Bengaluru resort are not allowed to go out, and 30 MLAs from Karnataka have been put in charge of the discipline. The party has planned seminars and programmes for their entertainment inside the resort. These include a lecture on the corruption charges against UPA, and Congress' achievements in 60 years, transparency and accountability.","Bored in confines of a sprawling resort in Bengaluru, the Congress flock of 44 MLAs is a frustrated lot now. Following strict orders of the Karnataka Power Minister DK Shivakumar, the MLAs are not allowed to venture out in the city. While the minister is presently in New Delhi to seek further course of action, 30 MLAs have been put in-charge of the discipline. But few defiant MLAs did head out in the city for sightseeing, shopping, to visit temples, much to the dismay of those still under curbs. The MLAs who were allowed to go out are supposedly those, the Congress is confident of not ditching the party. ",109
102,Indian women's cricketer Shikha felicitated by IAF Chief,"Flight Lt Shikha Pandey, a member of the Indian women's cricket team, was felicitated by Indian Air Force Chief BS Dhanoa for her performance at the Women's World Cup 2017. Pandey, commissioned in the IAF on June 30, 2012, as an air traffic control officer, was awarded the Chief of the Air Staff commendation by the Air Chief Marshal.","New Delhi, Aug 1 (PTI) Flight Lt Shikha Pandey, a member of the Indian womens cricket team, was today felicitated by Indian Air Force chief BS Dhanoa for her sterling performance at the recent World Cup. Pandey was awarded the chief of the air staff commendation by Air Chief Marshal Dhanoa for her performance at the recently concluded ICC Women World Cup, the IAF said. The Indian womens cricket team finished runner-up, losing to England narrowly by nine runs. However, the teams magnificent performance to reach the finals won laurels from all quarters. ",93
105,Maha farmers to fast indefinitely to protest land acquisition,"Farmers from 78 villages in Maharashtra are reportedly planning to go on an indefinite fast to protest the alleged forcible acquisition of farm land for the Delhi-Mumbai Industrial Corridor. Despite the project getting scaled down to one-third its original size, the 78 villages have not been denotified, activists said. Officials maintained that they are not planning forcible land acquisition. ","Protesting against the ?forcible acquisition of farm land for the Delhi-Mumbai Industrial Corridor (DMIC), farm activists plan to go on an indefinite fast from August 1 in Raigad district under the banner of ?Corridor Virodhi Shetkari Sangharsh Samiti? and ?Jagatikaran Virodhi Kruti Samiti?.The group represents 78 villages, which were originally part of the project. Following protests in 2013, the project was scaled down to one-third its size. In the first phase of the project, only 10 villages are involved with the land spread over 3,100 hectares. Activists claimed despite scaling down the project, the 78 villages were not denotified, raising questions over the intent of the government. The farmers have alleged the Maharashtra government has acquired around 1,000 hectares in Roha and Mangaon tehsils of Raigad and is looking to forcibly acquire the rest. DMIC officials maintain they are not planning forcible acquisition of land and a majority of the land for the phase one of the project has been acquired through negotiations.Ulka Mahajan, a member of the committee, said, ?We demand the state government form a committee to look into our concerns.?",182
110,Russia bans VPNs to stop users from accessing censored sites,"Russian President Vladimir Putin has signed a censorship law that bans the use of virtual private networks (VPNs) and other technologies which allow people to access prohibited websites and surf the web anonymously. Amnesty International criticised the law which will come into force on November 1 this year, as the ""latest blow in an assault on online freedom.""","Russian President Vladimir Putin has signed a law that prohibits technology that provides access to websites banned in the country, the government?s website said.The law, already approved by the Duma, the lower house of parliament, will ban the use of virtual private networks (VPNs) and other technologies, known as anonymizers, that allow people to surf the web anonymously. It comes into force on November 1.Leonid Levin, the head of the Duma?s information policy committee, has said the law is not intended to impose restrictions on law-abiding citizens but is meant only to block access to ?unlawful content,? RIA news agency said.",100
116,President's Press Secy Ashok Malik resigns from ITC board,"FMCG major ITC on Tuesday announced that Ashok Malik, who has been appointed the Press Secretary of the newly elected President Ram Nath Kovind, has resigned from its Board of Directors. Malik had joined the ITC board as an additional non-executive director, from April 11 as the representative of the Specified Undertaking of Unit Trust of India.","New Delhi, Aug 1 (PTI) Diversified conglomerate ITC today said Ashok Malik, who has been appointed the press secretary of the President of India, has resigned from its board of directors. ""Ashok Malik resigned from the board of directors of the company with effect from close of work on July 31, 2017, consequent on his appointment as press secretary to the President of India,"" the company said. ",67
131,"10,000 users affected in malware attack on MTNL broadband",Several broadband connections of state-run MTNL were affected after a malware attack on Friday in Delhi. The attack impacted services in many households with malfunctioning of the broadband services. Users were reportedly redirected to malicious web pages with ads and pornography. State-owned telecom company BSNL was also recently hit by a malware attack that changed passwords of the modems.,"State run Mahanagar Telephone Nigam Ltd (MTNL) has been hit by a malware attack in Delhi. The issue which is now under control as per the company, affected over 10,000 users and disrupted the broadband services for quite some time. "" A malware attack led to reconfiguration of all modems. Approximately 10,000 consumers have been hit due to the malfunction in a Taiwanese chipset,"" MTNL Chairman and Managing Director PK Purwar told The HinduBusinessLine. According to the company, the situation is under control now but the source of the virus remains unidentified. Reportedly, users were being redirected to malicious and web pages with ads and pornography. Though the company took note of the issue only last Thursday, the service apparently was disrupted  for almost a week. "" The modem has to be reconfigured to manage the problem,"" a company official told ET.  ",142
143,Nothing wrong in not reciting Vande Mataram: Athawale,"Union Minister Ramdas Athawale has said that there was nothing wrong if one didn?t recite the national song ?Vande Mataram.? Athawale added that the issue of the national song was being brought out to cause feud among communities. The Madras High Court recently made singing ?Vande Mataram? compulsory once a week in government schools, colleges and universities in Tamil Nadu.","Union minister Ramdas Athawale has said there was nothing wrong if one didn?t recite the national song ?Vande Mataram.?Athawale, the leader of Republican Party of India (A), said the issue of the national song was being brought out deliberately to cause feud among communities.?Everybody should recite Vande Mataram, but if it is not recited what will go wrong?? he asked, while addressing the Maharashtra Gramin Patrakar Sangh?s 11th anniversary at Kalyan near Thane on Monday.?If one does not recite Vande Mataram nothing is wrong in that,? said the minister of state for social justice and empowerment.The Madras high court recently made singing ?Vande Mataram? compulsory in all government schools, colleges and universities in Tamil Nadu at least once a week.A BJP MLA in Maharashtra recently demanded the implementation of the ruling in schools and colleges of the state, sparking a political slugfest with legislators of some other parties opposing any such move.",151
149,Delhi bans flying of aerial vehicles till August 15,"Delhi police on Monday said that it has banned the flying of aerial vehicles till Independence Day owing to terror threat. The banned aerial vehicles include drones, paragliders, quadcopters, hang-gliders, hot-air balloons, and UAVs among others. ""Certain criminal/anti-social elements or terrorists... may pose a threat to safety...by the use of sub-conventional aerial platforms"", police said.","Flying of aerial vehicles like quadcopters, paragliders, and hot-air balloons in Delhi has been banned till the Independence Day celebrations on August 15 due to the terror threat, Delhi Police said on Monday. ?... certain criminal/anti-social elements or terrorists... may pose a threat to the safety of the general public, dignitaries, and vital installations by the use of sub-conventional aerial platforms,? a police statement said. The list of aerial platforms banned also includes para-motors, hang-gliders, Unmanned Aerial Vehicles, Unmanned Aircraft Systems, microlight aircraft, remotely-piloted and small-powered aircraft, apart from parajumping from aircraft.",91
155,Woman's headless body found in a suitcase in Mumbai,"Headless body of a woman, suspected to be in her 20s, was found in a suitcase in Navi Mumbai on Monday. The suitcase had been dumped at an agricultural farm and was discovered by the owner, after which he informed the police. Police suspect that the woman was murdered and her corpse was then stuffed inside the suitcase. ","Dead body of a woman aged around 20 to 25 was found in a agricultural farm off the Palm Beach Road in Navi Mumbai on Monday afternoon. Mahendra Tandel, owner of the farm, was on a regular visit, when he found a suitcase dumped at one corner. While he tried lifting it, he found it be heavy. Feeling suspicious he alerted the police and a team from NRI coastal police station reached the spot.When the police officials opened the suitcase, they found a headless body of a woman. It is suspected that the woman was murdered and her body was stuffed inside the suitcase and dumped at the farm, which is located in a secluded area. The body has been sent for autopsy at the Navi Mumbai Municipal Hospital to ascertain the cause and time of her death.DCP S Pathare from Navi Mumbai said, ""We have sent pictures of the deceased to all the police stations and control rooms to establish her identity. We are checking missing people's records as well"".In 2012, decomposed remains of actress Sandhya Singh was found from a spot not far from this farmhouse. Sandhya's son Raghuveer was accused of her murder.",195
164,"Flight suffers tyre burst, gets stuck in middle of runway","An Etihad Airways aircraft carrying nearly 200 passengers suffered a tyre burst upon landing, forcing Mumbai airport authorities to shut operations at the main runway on Monday evening. The Abu Dhabi-Mumbai flight got stuck in the middle of the runway, following which operations were shifted to the secondary runway. Notably, the two runways at Mumbai airport intersect each other. ","An Etihad Airways aircraft with more than 200 people on board suffered a tyre burst on landing, forcing the Mumbai airport authorities to shut operations at the main runway Monday evening.The operations were moved to the secondary runway after the plane from Abu Dhabi got stuck in the middle of the runway, an airport official said.The incident took place around 7 pm.The aircraft had 196 passengers and 13 crew members on board, the official said.A comment from Etihad Airways is awaited.The Mumbai airport has a unique layout with two runways ? the main runway and a secondary one ? intersecting each other.?Runway 14-32 (the secondary one) was in use as runway 09-27 (the main one) was taken over for inspection as Etihad Airways flight EY 204 had a tyre deflated after arrival on the main runway,? the official said. The airline said in a statement that ?all passengers and crew are fine?, and it was ?assisting guests who may be impacted by the delay of the outbound flight and advising them of any subsequent changes to their travel plans?. ",179
166,Flight crew averts mid-air fire caused by phone,"Cabin crew on a  Kochi-Colombo SriLankan Airlines flight extinguished a mid-flight fire suspected to have been caused by a phone in an overhead locker. The crew put a bag in the water after failing to stop the smoke with a fire extinguisher. Upon investigation, the crew found a lithium battery pack and two mobile phones in it.","Crew on a Sri Lankan Airlines plane carrying 202 passengers have extinguished a mid-flight fire triggered by a mobile phone battery in an overhead locker, the carrier said Monday.The airline said a ?major? incident was averted by the quick-thinking attendants on the flight Sunday from Kochi to Colombo.Smoke was detected shortly after a meal service on the 70-minute flight, it said.The smoke came from an overhead bin, the airline added, thanking its crew for ?averting a major incident?.  Crew suspected a lithium battery fire and put the luggage in water after failing to stop the smoke with a fire extinguisher, an airline statement said.?The situation was successfully contained and the bag ceased to emit smoke,? the statement said. ?Upon investigation, the crew found a lithium battery pack and two mobile phones in the bag.?The airline did not give the make or model of the battery and the phones involved, but said an investigation was underway into the incident on the Airbus A330-200 aircraft.No one was hurt. In October, the carrier joined other airlines in banning Samsung Note 7 phones from its flights fearing spontaneous combustion.",185
170,"44,000 toilets must be built daily to make UP ODF by 2018","Around 44,000 toilets need to be built daily by the Uttar Pradesh government to make the state open defecation free (ODF) by October 2, 2018, Chief Secretary Rajiv Kumar said on Monday. He further directed district magistrates to speed up the construction work and said they should devote at least half an hour daily to monitor the progress. ","Lucknow, Jul 31 (PTI) The Uttar Pradesh government will have to construct 44,000 toilets per day to make the state open defecation free (ODF) by October 2 next year, Chief Secretary Rajive Kumar today said. He alsp directed district magistrates to speed up the work, saying they should spare alteast half an hour per day for monitoring it. ""To make the state ODF by October 2 next year, 1.55 crore toilets are to be constructed. To achieve the target, 44,000 toilets are to be made everyday,"" Kumar said while reviewing works done under the Swacch Bharat Mission through video conferencing. ",100
175,Teen carrying live bullets detained at Delhi metro station,An 18-year-old from Bareilly was detained on Sunday for carrying three live bullets in his bag at Delhi's Kailash Colony Metro station. The bullets were detected by a CISF personnel when his bag was being screened in the X-ray machine. He was handed over to the police for not having a government-issued document for possessing arms and ammunitions.,"An 18-year-old man was apprehended on Sunday for allegedly carrying three live bullets in his bag while entering a Delhi metro station, a senior officer said.The officer involved in metro security said that the incident was reported around noon at the Kailash colony metro station when a CISF personnel detected bullet-like objects in a bag being screened at the X-ray machine.The bag belonged to a man identified as Jitendra Kumar (18), a resident of Bareilly in Uttar Pradesh.Three live bullets of 7.62 calibre were recovered from the bag, the officer said.Kumar was handed over to police after he failed to furnish any government issued document for possessing arms and ammunition, he said, adding that carrying arms and ammunition in the Delhi metro is banned under the law.",126
181,Kapil Mishra releases sting against AAP govt in CNG scam,Ousted AAP minister Kapil Mishra released a sting operation on Monday alleging that the Kejriwal government is involved in a CNG kit scam. Aam Aadmi Sena members reportedly took a leaking cylinder to four CNG checking centres across Delhi and got it cleared. Mishra has given an ultimatum of 4 days for the Delhi government to respond.,"Rebel Aam Aadmi Party (AAP) leader Kapil Mishra today released a sting operation and alleged that the Delhi government is involved in a CNG kit scam.""There are 20 lakh CNG users in the national capital - from taxi services to school buses, autos and even the cars people drive. Delhi stands on a ticking time bomb and this is not possible without the hand of the Delhi government,"" said Kapil Mishra.Members of the Aam Aadmi Sena (AAS) took a leaking cylinder to four different compressed natural gas checking centres across the national capital and in all four centres they managed to get a pass certificate for the leaking cylinder. The cylinder failed the hydrostatic stretch test specially done for the compressed gas cylinders but they still got certificates to use the cylinder.""We have brought up the matter with the LG. We are sure he will take the needful action,"" said AAS president Prabhat Kumar.""We have given the Delhi government four days. If nothing is done within the next four days then we will take to the streets with various transport unions,"" said Mishra.",182
